Name,Category,Type,SR,MR,LR,Sdif,Mdif,Ldif,Sdam,Mdam,Ldam,Burst Max,Ammo,Fat_range,Fat_dam,Inj_range,Inj_dam,One_Handed,Underslung,,Dstry Cvr,Div,Notes,Cost,Rarity
Autopistol,Autopistols,Kinetic,6,50,100,5,8,14,1D10 ,1D10 ,1D10 ,2D10,3,N/A,N/A,N/A,N/A,True,False,N/A,False,False,N/A,4,Common
NG75 Autopistol,Autopistols,Kinetic,6,50,100,5,8,14,1D10 ,1D10 ,1D10 ,3D10,2,N/A,N/A,N/A,N/A,True,False,N/A,False,False,N/A,42000,Rare
Micronite Doubleclip Sentinel,Autopistols,Kinetic,6,50,100,5,8,14,1D10 ,1D10 ,1D10 ,2D10,6,N/A,N/A,N/A,N/A,True,False,"Effect('kin_weap',5)",False,False,N/A,50000,Rare
Gold & Perry ‘Watcher’ Autopistol,Autopistols,Kinetic,10,60,120,5,8,14,1D10 ,1D10 ,1D10 ,2D10,3,N/A,N/A,N/A,N/A,True,False,N/A,False,False,N/A,65000,Rare
GTN 195 Autopistol,Autopistols,Kinetic,8,56,110,5,8,14,2D10 ,2D11,2D12,2D10,3,N/A,N/A,N/A,N/A,True,False,N/A,False,False,N/A,225000,Rare
Imperial ‘Stimmer’ Autopistol,Autopistols,Kinetic,6,50,100,5,8,14,1D10 ,1D10 ,1D10 ,2D10,3,N/A,N/A,N/A,N/A,True,False,"Effect('kin_weap',5)",False,False,Injects Combat Stims (80%) on 0 Endurance.,400500,Rare
Asellus Deflector Pistol,Autopistols,Kinetic,6,50,100,5,8,14,1D10 ,1D10 ,1D10 ,2D10,3,N/A,N/A,N/A,N/A,True,False,"Effect('kin_weap',10)",False,False,Absorb 3 Kinetic and Energy damage.,1005000,Rare
LX10 Energised Autopistol,Autopistols,Kinetic,10,60,120,5,8,14,2D10 ,2D11,2D12,2D10,4,N/A,N/A,N/A,N/A,True,False,"Effect('kin_weap',5)",False,False,Damage counts as Energy Weapon,1400000,Rare
Corvus Inc Devastation Pistol,Autopistols,Kinetic,8,56,110,5,8,14,1D10 ,1D11,1D12,4D10,4,N/A,N/A,N/A,N/A,True,False,"Effect('kin_weap',15)",False,False,N/A,2900000,Rare
Delman Autopistol,Autopistols,Kinetic,10,60,120,5,8,14,3D10 ,3D11,3D12,2D10,2,N/A,N/A,N/A,N/A,True,False,"Effect('kin_weap',20)",False,False,N/A,5000000,Rare
Laser Pistol,Laserpistols,Energy,10,80,120,4,7,11,8,8,8,N/A,N/A,N/A,N/A,N/A,N/A,True,False,N/A,False,False,N/A,3,Common
Hyperion Laser Pistol,Laserpistols,Energy,10,80,120,4,7,11,8,8,8,N/A,N/A,N/A,N/A,N/A,N/A,True,False,"Effect('eng_weap',5)",False,False,N/A,47000,Rare
Evex Long-barrel Laser Pistol,Laserpistols,Energy,16,100,150,4,7,11,8,8,8,N/A,N/A,N/A,N/A,N/A,N/A,True,False,N/A,False,False,N/A,98000,Rare
Cauldus Nerve-blocker Laser Pistol,Laserpistols,Energy,10,80,120,4,7,11,8,8,8,N/A,N/A,N/A,N/A,N/A,N/A,True,False,N/A,False,False,"Knocks over target on a natural 9 or 10 To Hit, target disarmed if knocked over.",196000,Rare
CS1 Burst Pistol,Laserpistols,Energy,8,60,90,4,7,11,5,5,5,15,N/A,N/A,N/A,N/A,N/A,True,False,N/A,False,False,N/A,244000,Rare
Nadion Twin Barrel Laser Pistol,Laserpistols,Energy,10,80,120,4,7,11,12,12,12,N/A,N/A,N/A,N/A,N/A,N/A,True,False,N/A,False,False,N/A,863000,Rare
Paris Eleganté Laser Pistol,Laserpistols,Energy,10,80,120,4,7,11,10,10,10,N/A,N/A,N/A,N/A,N/A,N/A,True,False,"Effect('eng_weap',15)",False,False,N/A,1809000,Rare
Magnetising Hotshot LaserPistol,Laserpistols,Energy,12,90,130,4,7,11,12,12,12,N/A,N/A,N/A,N/A,N/A,N/A,True,False,"Effect('eng_weap',10)",False,False, +1 bonus To Hit if you have previously hit the target with this weapon.,3550000,Rare
GL779 Intellipistol,Laserpistols,Energy,12,90,130,4,7,11,12,12,12,N/A,N/A,N/A,N/A,N/A,N/A,True,False,N/A,False,False,"Fires with Energy Weapons Skill Bonus of 9, ignores firearms skill.",8200000,Rare
Sub Machinegun,Submachine Gun,Kinetic,10,60,120,5,8,14,1D10 ,1D10 ,1D10 ,3D10,4,N/A,N/A,N/A,N/A,False,False,N/A,False,False,N/A,9,Common
Ergon Tommygun,Submachine Gun,Kinetic,12,64,128,5,8,14,1D10 ,1D10 ,1D10 ,3D10,8,N/A,N/A,N/A,N/A,False,False,N/A,False,False,N/A,74000,Rare
K33 Multifire SMG,Submachine Gun,Kinetic,10,60,120,5,8,14,1D10 ,1D10 ,1D10 ,4D10,3,N/A,N/A,N/A,N/A,False,False,N/A,False,False,N/A,175500,Rare
Longarm Deadfire SMG,Submachine Gun,Kinetic,12,64,128,5,8,14,1D10 ,1D10 ,1D10 ,3D10,4,N/A,N/A,N/A,N/A,False,False,"Effect('kin_weap',5)",False,False,Includes underslung grenade launcher.,310000,Rare
Skollanga 'Slammer' SMG,Submachine Gun,Kinetic,10,60,120,5,8,14,2D10 ,2D10 ,2D10 ,3D10,4,N/A,N/A,N/A,N/A,False,False,N/A,False,False,Target knocked over on a natural 9 or 10 To Hit.,985000,Rare
Intsys JR4 SMG,Submachine Gun,Kinetic,10,60,120,5,8,14,2D10 ,2D10 ,2D10 ,4D10,4,N/A,N/A,N/A,N/A,False,False,"Effect('kin_weap',10)",False,False,N/A,1345000,Rare
Krakoff Demolisher Rifle,Submachine Gun,Kinetic,10,60,120,5,8,14,2D10 ,2D10 ,2D10 ,4D10,6,N/A,N/A,N/A,N/A,False,False,N/A,False,False,Includes underslung grenade launcher.,3050000,Rare
Assaut Beamer,Beamer,Energy,12,70,200,4,7,10,5,5,5,20,N/A,N/A,N/A,N/A,N/A,False,False,N/A,True,True,N/A,50,Common
Ingram Wide-Beam Carbine,Beamer,Energy,10,60,150,4,7,10,5,5,5,20,N/A,N/A,N/A,N/A,N/A,False,False,"Effect('eng_weap',5)",True,True,N/A,62000,Rare
Laifan ABS Serrator,Beamer,Energy,12,70,200,4,7,10,5,5,5,30,N/A,N/A,N/A,N/A,N/A,False,False,N/A,True,True,On a natural 1 To Hit the weapon inflicts 10 Energy damage on user. ,2134000,Rare
Magnotan Searching Beamer,Beamer,Energy,12,70,200,4,7,10,10,10,10,20,N/A,N/A,N/A,N/A,N/A,False,False,"Effect('eng_weap',20)",True,True,N/A,13599000,Rare
Shotgun,Shotgun,Kinetic,6,12,50,3,7,12,3D10,2D10 ,1D10 ,N/A,6,N/A,N/A,N/A,N/A,False,False,N/A,False,False,N/A,5,Common
Exalt WideScatter Shotgun,Shotgun,Kinetic,8,12,30,3,7,12,3D10,2D10 ,1D10 ,N/A,6,N/A,N/A,N/A,N/A,False,False,N/A,False,True,Full damage with divide fire,78000,Rare
Micro-Shotgun,Shotgun,Kinetic,6,10,30,3,7,12,3D10,2D10 ,1D10 ,N/A,3,N/A,N/A,N/A,N/A,True,False,N/A,False,False,N/A,190000,Rare
